video-id,glance
Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0,357
Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0,297
Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0,599
Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0,414
Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0,371
Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0,673
Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0,1105
Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0,1339
Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0,516
Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6,1108
Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6,3864
Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6,5678
Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0,412
Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0,1338
Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0,3148
Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G,2142
Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G,3808
Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0,483
Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0,1173
Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0,1514
Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0,311
Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0,1762
Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0,3058
Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0,4224
Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0,4872
Bad.Boys.II.2003__#01-27-09_01-28-25_label_B2-B6-0,54
Bad.Boys.II.2003__#01-27-09_01-28-25_label_B2-B6-0,328
Bad.Boys.II.2003__#01-27-09_01-28-25_label_B2-B6-0,1121
Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0,140
Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0,506
Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0,668
Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0,880
Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0,1182
Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0,536
Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0,2002
Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0,6544
Bad.Boys.II.2003__#02-13-42_02-15-02_label_B6-G-B2,278
Bad.Boys.II.2003__#02-13-42_02-15-02_label_B6-G-B2,1017
Bad.Boys.II.2003__#02-13-42_02-15-02_label_B6-G-B2,1526
Bad.Boys.II.2003__#02-13-42_02-15-02_label_B6-G-B2,1766
Bad.Boys.II.2003__#02-15-48_02-18-12_label_B2-G-0,241
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0,800
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0,1545
Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0,99
Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0,432
Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0,736
Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0,221
Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0,463
Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0,557
Black.Hawk.Down.2001__#00-47-58_00-48-58_label_B2-0-0,185
Black.Hawk.Down.2001__#00-47-58_00-48-58_label_B2-0-0,655
Black.Hawk.Down.2001__#00-55-00_00-55-29_label_G-B2-0,419
Black.Hawk.Down.2001__#00-55-00_00-55-29_label_G-B2-0,540
Black.Hawk.Down.2001__#00-59-10_01-00-01_label_B2-0-0,212
Black.Hawk.Down.2001__#00-59-10_01-00-01_label_B2-0-0,407
Black.Hawk.Down.2001__#00-59-10_01-00-01_label_B2-0-0,784
Black.Hawk.Down.2001__#00-59-10_01-00-01_label_B2-0-0,1051
Black.Hawk.Down.2001__#01-12-39_01-13-12_label_G-0-0,50
Black.Hawk.Down.2001__#01-12-39_01-13-12_label_G-0-0,227
Black.Hawk.Down.2001__#01-21-39_01-22-24_label_G-0-0,107
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0,217
Black.Hawk.Down.2001__#01-49-18_01-49-50_label_G-0-0,499
Black.Hawk.Down.2001__#01-49-18_01-49-50_label_G-0-0,668
Black.Hawk.Down.2001__#01-51-26_01-51-50_label_G-0-0,218
Black.Hawk.Down.2001__#01-51-26_01-51-50_label_G-0-0,518
Black.Hawk.Down.2001__#02-04-08_02-04-28_label_G-0-0,132
Black.Hawk.Down.2001__#02-04-08_02-04-28_label_G-0-0,206
Braveheart.1995__#00-41-00_00-44-30_label_B5-B1-0,1990
Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0,1013
Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0,1745
Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0,3266
Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0,1123
Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0,2750
Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0,900
Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0,1500
Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0,2016
Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0,302
Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0,612
Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0,978
Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0,990
Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0,2056
Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0,482
Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0,799
Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0,1296
Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0,142
Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0,1776
Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0,1717
Braveheart.1995__#02-28-15_02-29-59_label_B1-0-0,499
Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0,246
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0,24
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0,200
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0,362
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0,468
Brick.Mansions.2014__#00-03-40_00-03-55_label_B1-B2-0,292
Brick.Mansions.2014__#00-04-52_00-05-38_label_B1-0-0,549
Brick.Mansions.2014__#00-04-52_00-05-38_label_B1-0-0,930
Brick.Mansions.2014__#00-08-07_00-08-27_label_G-0-0,248
Brick.Mansions.2014__#00-15-12_00-15-27_label_B2-0-0,283
Brick.Mansions.2014__#00-16-02_00-16-26_label_B2-0-0,266
Brick.Mansions.2014__#00-16-02_00-16-26_label_B2-0-0,355
Brick.Mansions.2014__#00-17-12_00-17-40_label_B2-0-0,101
Brick.Mansions.2014__#00-18-00_00-18-49_label_B2-0-0,169
Brick.Mansions.2014__#00-18-00_00-18-49_label_B2-0-0,607
Brick.Mansions.2014__#00-18-00_00-18-49_label_B2-0-0,1121
Brick.Mansions.2014__#00-35-46_00-36-04_label_B1-0-0,301
Brick.Mansions.2014__#00-37-48_00-38-48_label_B1-0-0,277
Brick.Mansions.2014__#00-37-48_00-38-48_label_B1-0-0,783
Brick.Mansions.2014__#00-40-15_00-40-55_label_B6-0-0,212
Brick.Mansions.2014__#00-40-15_00-40-55_label_B6-0-0,604
Brick.Mansions.2014__#00-44-28_00-44-46_label_B1-0-0,149
Brick.Mansions.2014__#00-47-11_00-48-52_label_B1-0-0,1183
Brick.Mansions.2014__#00-58-05_00-58-57_label_B2-B1-0,271
Brick.Mansions.2014__#00-58-05_00-58-57_label_B2-B1-0,837
Brick.Mansions.2014__#00-59-15_00-59-39_label_B1-0-0,254
Brick.Mansions.2014__#01-02-45_01-03-18_label_B1-0-0,246
Brick.Mansions.2014__#01-02-45_01-03-18_label_B1-0-0,470
Brick.Mansions.2014__#01-02-45_01-03-18_label_B1-0-0,658
Brick.Mansions.2014__#01-09-47_01-11-55_label_B1-0-0,382
Brick.Mansions.2014__#01-09-47_01-11-55_label_B1-0-0,718
Brick.Mansions.2014__#01-09-47_01-11-55_label_B1-0-0,1848
Brick.Mansions.2014__#01-15-01_01-16-45_label_B1-0-0,942
Brick.Mansions.2014__#01-15-01_01-16-45_label_B1-0-0,1599
Brick.Mansions.2014__#01-15-01_01-16-45_label_B1-0-0,2058
Brick.Mansions.2014__#01-18-33_01-19-39_label_B4-B1-0,407
Brick.Mansions.2014__#01-18-33_01-19-39_label_B4-B1-0,1042
Bullet.in.the.Head.1990__#00-02-50_00-03-55_label_B1-0-0,170
Bullet.in.the.Head.1990__#00-02-50_00-03-55_label_B1-0-0,605
Bullet.in.the.Head.1990__#00-02-50_00-03-55_label_B1-0-0,838
Bullet.in.the.Head.1990__#00-02-50_00-03-55_label_B1-0-0,1117
Bullet.in.the.Head.1990__#00-04-41_00-06-12_label_B1-0-0,620
Bullet.in.the.Head.1990__#00-10-30_00-11-45_label_B1-0-0,1164
Bullet.in.the.Head.1990__#00-10-30_00-11-45_label_B1-0-0,1541
Bullet.in.the.Head.1990__#00-21-30_00-23-30_label_B4-B1-G,446
Bullet.in.the.Head.1990__#00-21-30_00-23-30_label_B4-B1-G,878
Bullet.in.the.Head.1990__#00-21-30_00-23-30_label_B4-B1-G,1612
Bullet.in.the.Head.1990__#00-21-30_00-23-30_label_B4-B1-G,2145
Bullet.in.the.Head.1990__#00-26-20_00-28-45_label_G-B2-0,1614
Bullet.in.the.Head.1990__#00-26-20_00-28-45_label_G-B2-0,2204
Bullet.in.the.Head.1990__#00-26-20_00-28-45_label_G-B2-0,3090
Bullet.in.the.Head.1990__#00-28-50_00-31-20_label_B4-B2-B1,144
Bullet.in.the.Head.1990__#00-28-50_00-31-20_label_B4-B2-B1,612
Bullet.in.the.Head.1990__#00-28-50_00-31-20_label_B4-B2-B1,2322
Bullet.in.the.Head.1990__#00-36-00_00-37-14_label_B2-0-0,1403
Bullet.in.the.Head.1990__#00-39-01_00-41-00_label_B2-0-0,1780
Bullet.in.the.Head.1990__#00-45-00_00-46-20_label_B2-B1-0,403
Bullet.in.the.Head.1990__#00-45-00_00-46-20_label_B2-B1-0,1276
Bullet.in.the.Head.1990__#00-52-55_00-54-30_label_B1-B2-G,386
Bullet.in.the.Head.1990__#00-52-55_00-54-30_label_B1-B2-G,954
Bullet.in.the.Head.1990__#00-52-55_00-54-30_label_B1-B2-G,1420
Bullet.in.the.Head.1990__#00-54-31_00-56-50_label_B2-B5-G,482
Bullet.in.the.Head.1990__#00-54-31_00-56-50_label_B2-B5-G,1497
Bullet.in.the.Head.1990__#00-54-31_00-56-50_label_B2-B5-G,2063
Bullet.in.the.Head.1990__#00-57-53_01-00-57_label_G-B2-0,353
Bullet.in.the.Head.1990__#00-57-53_01-00-57_label_G-B2-0,1280
Bullet.in.the.Head.1990__#00-57-53_01-00-57_label_G-B2-0,2958
Bullet.in.the.Head.1990__#01-01-11_01-04-01_label_G-B2-0,1591
Bullet.in.the.Head.1990__#01-01-11_01-04-01_label_G-B2-0,2937
Bullet.in.the.Head.1990__#01-01-11_01-04-01_label_G-B2-0,3529
Bullet.in.the.Head.1990__#01-07-01_01-10-00_label_B2-G-0,1715
Bullet.in.the.Head.1990__#01-07-01_01-10-00_label_B2-G-0,2551
Bullet.in.the.Head.1990__#01-07-01_01-10-00_label_B2-G-0,3601
Bullet.in.the.Head.1990__#01-13-41_01-16-02_label_B2-G-0,844
Bullet.in.the.Head.1990__#01-16-04_01-17-30_label_B2-G-0,829
Bullet.in.the.Head.1990__#01-16-04_01-17-30_label_B2-G-0,1177
Bullet.in.the.Head.1990__#01-19-10_01-21-30_label_B2-B5-0,1512
Bullet.in.the.Head.1990__#01-19-10_01-21-30_label_B2-B5-0,2268
Bullet.in.the.Head.1990__#01-21-37_01-25-26_label_B2-0-0,2661
Bullet.in.the.Head.1990__#01-21-37_01-25-26_label_B2-0-0,4856
Bullet.in.the.Head.1990__#01-28-30_01-33-00_label_B2-G-0,1231
Bullet.in.the.Head.1990__#01-28-30_01-33-00_label_B2-G-0,4050
Bullet.in.the.Head.1990__#01-28-30_01-33-00_label_B2-G-0,6123
Bullet.in.the.Head.1990__#01-33-02_01-35-40_label_B2-G-0,796
Bullet.in.the.Head.1990__#01-33-02_01-35-40_label_B2-G-0,2009
Bullet.in.the.Head.1990__#01-33-02_01-35-40_label_B2-G-0,2957
Bullet.in.the.Head.1990__#01-36-00_01-38-33_label_B2-G-0,512
Bullet.in.the.Head.1990__#01-36-00_01-38-33_label_B2-G-0,1630
Bullet.in.the.Head.1990__#01-36-00_01-38-33_label_B2-G-0,2784
Bullet.in.the.Head.1990__#01-42-30_01-43-30_label_B2-0-0,561
Bullet.in.the.Head.1990__#01-42-30_01-43-30_label_B2-0-0,928
Bullet.in.the.Head.1990__#01-42-30_01-43-30_label_B2-0-0,1209
Bullet.in.the.Head.1990__#01-46-45_01-47-50_label_B5-B2-0,116
Bullet.in.the.Head.1990__#01-52-56_01-54-05_label_G-B2-0,65
Bullet.in.the.Head.1990__#01-52-56_01-54-05_label_G-B2-0,346
Bullet.in.the.Head.1990__#01-52-56_01-54-05_label_G-B2-0,898
Bullet.in.the.Head.1990__#01-52-56_01-54-05_label_G-B2-0,1260
Bullet.in.the.Head.1990__#01-59-31_02-01-50_label_B6-B2-G,2795
Bullet.in.the.Head.1990__#02-05-23_02-06-45_label_G-B2-0,541
Bullet.in.the.Head.1990__#02-05-23_02-06-45_label_G-B2-0,1220
Bullet.in.the.Head.1990__#02-06-50_02-09-20_label_B2-0-0,126
Bullet.in.the.Head.1990__#02-06-50_02-09-20_label_B2-0-0,900
Bullet.in.the.Head.1990__#02-06-50_02-09-20_label_B2-0-0,2124
Bullet.in.the.Head.1990__#02-06-50_02-09-20_label_B2-0-0,2844
Bullet.in.the.Head.1990__#02-06-50_02-09-20_label_B2-0-0,3366
Casino.Royale.2006__#00-01-52_00-02-13_label_B1-0-0,52
Casino.Royale.2006__#00-01-52_00-02-13_label_B1-0-0,138
Casino.Royale.2006__#00-01-52_00-02-13_label_B1-0-0,233
Casino.Royale.2006__#00-01-52_00-02-13_label_B1-0-0,302
Casino.Royale.2006__#00-02-13_00-03-13_label_B1-B2-0,712
Casino.Royale.2006__#00-11-35_00-12-05_label_B2-B6-0,208
Casino.Royale.2006__#00-11-35_00-12-05_label_B2-B6-0,388
Casino.Royale.2006__#00-11-35_00-12-05_label_B2-B6-0,619
Casino.Royale.2006__#00-12-26_00-12-36_label_G-0-0,127
Casino.Royale.2006__#00-12-36_00-12-46_label_B2-0-0,85
Casino.Royale.2006__#00-13-56_00-14-44_label_B1-0-0,408
Casino.Royale.2006__#00-13-56_00-14-44_label_B1-0-0,641
Casino.Royale.2006__#00-16-55_00-18-30_label_B1-B2-0,170
Casino.Royale.2006__#00-16-55_00-18-30_label_B1-B2-0,738
Casino.Royale.2006__#00-16-55_00-18-30_label_B1-B2-0,1011
Casino.Royale.2006__#00-16-55_00-18-30_label_B1-B2-0,1533
Casino.Royale.2006__#00-49-40_00-50-05_label_B6-G-0,224
Casino.Royale.2006__#00-49-40_00-50-05_label_B6-G-0,417
Casino.Royale.2006__#01-19-46_01-21-46_label_B1-B2-0,518
Casino.Royale.2006__#01-19-46_01-21-46_label_B1-B2-0,1684
Casino.Royale.2006__#01-19-46_01-21-46_label_B1-B2-0,2088
Casino.Royale.2006__#02-09-05_02-09-47_label_B2-0-0,504
Casino.Royale.2006__#02-10-15_02-14-15_label_B2-B1-0,1497
Casino.Royale.2006__#02-10-15_02-14-15_label_B2-B1-0,2448
Casino.Royale.2006__#02-10-15_02-14-15_label_B2-B1-0,3225
Casino.Royale.2006__#02-10-15_02-14-15_label_B2-B1-0,4060
City.Of.Men.2007__#00-11-30_00-12-02_label_B1-0-0,410
City.Of.Men.2007__#00-24-29_00-25-30_label_B1-0-0,1193
City.Of.Men.2007__#00-53-50_00-54-30_label_B2-0-0,148
City.Of.Men.2007__#00-53-50_00-54-30_label_B2-0-0,475
City.Of.Men.2007__#01-09-40_01-10-20_label_B2-0-0,148
